Currently_Investing,Investment_Types,Review_Frequency,Income_Investment_%,Risk_Appetite,Understanding_Level,Preference,Advisor_Type,Past_Loss_Experience,Reaction_To_Loss,Return_Expectation,Recommended_Investment,Recommendation_Reasoning,Recommendation_Confidence
Yes,"FD, Gold, Mutual Funds",Monthly,7,Low,Medium,Long-Term,Professional Advisor,No,N/A,Medium (8-12%),"FD, Debt Mutual Funds, Gold (small % for hedge)",Low risk appetite -> capital preservation instruments.,0.65
No,None,Yearly,0,Low,High,Short-Term,Professional Advisor,No,N/A,Low (<8%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds)",No current investments; build emergency corpus and start safe instruments.,0.7
No,None,Monthly,7,High,Medium,Both,Self,Yes,Hold,Low (<8%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds)",No current investments; build emergency corpus and start safe instruments.,0.45
Yes,FD,Monthly,21,Low,Low,Long-Term,Both,No,N/A,Medium (8-12%),"FD, Debt Mutual Funds, Gold (small % for hedge), High-grade Debt Funds for better yields","Low risk appetite -> capital preservation instruments. Higher contribution allows exploring slightly higher-yield debt options. Recommend simpler, easy-to-understand instruments and advisor guidance.",0.75
Yes,"FD, Gold",Quarterly,10,Low,Low,Short-Term,Professional Advisor,No,N/A,Medium (8-12%),"FD, Debt Mutual Funds, Gold (small % for hedge)","Low risk appetite -> capital preservation instruments. Short-term preference -> recommend liquid/safe instruments for near-term needs. Recommend simpler, easy-to-understand instruments and advisor guidance.",0.65
Yes,"Mutual Funds, SIP",Monthly,12,Moderate,Low,Both,Self,No,N/A,High (>12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability, Prefer Managed Mutual Funds over direct stock picking","Moderate risk -> mix of equity via SIPs and debt for stability. Recommend simpler, easy-to-understand instruments and advisor guidance.",0.6
Yes,Mutual Funds,Monthly,17,Moderate,Medium,Long-Term,Professional Advisor,Yes,Hold,Medium (8-12%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability",Moderate risk -> mix of equity via SIPs and debt for stability.,0.7
No,None,Rarely,0,Moderate,Medium,Short-Term,Self,No,N/A,High (>12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds), Begin small SIP in Balanced Mutual Funds",No current investments; build emergency corpus and start safe instruments. Consider SIP to get market exposure with rupee cost averaging.,0.5
Yes,FD,Monthly,4,Low,Medium,Long-Term,Professional Advisor,No,N/A,Medium (8-12%),"FD, Debt Mutual Funds, Gold (small % for hedge)",Low risk appetite -> capital preservation instruments.,0.65
No,None,Monthly,0,Moderate,Low,Long-Term,Self,No,N/A,High (>12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds), Begin small SIP in Balanced Mutual Funds",No current investments; build emergency corpus and start safe instruments. Consider SIP to get market exposure with rupee cost averaging.,0.5
Yes,"FD, Mutual Funds",Monthly,5,Low,Low,Both,Professional Advisor,No,N/A,High (>12%),"FD, Debt Mutual Funds, Gold (small % for hedge)","Low risk appetite -> capital preservation instruments. Recommend simpler, easy-to-understand instruments and advisor guidance.",0.65
No,None,Quarterly,0,Low,Medium,Both,Self,No,N/A,Medium (8-12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds)",No current investments; build emergency corpus and start safe instruments.,0.5
No,None,Quarterly,0,High,Medium,Both,Professional Advisor,No,N/A,High (>12%),"Start with FD / Recurring Deposit, Emergency Fund (Liquid Funds), Begin small SIP in Balanced Mutual Funds",No current investments; build emergency corpus and start safe instruments. Consider SIP to get market exposure with rupee cost averaging.,0.55
Yes,FD,Monthly,13,Low,Low,Long-Term,Self,No,N/A,High (>12%),"FD, Debt Mutual Funds, Gold (small % for hedge)","Low risk appetite -> capital preservation instruments. Recommend simpler, easy-to-understand instruments and advisor guidance.",0.6
Yes,"Mutual Funds, Stocks",Yearly,1,Moderate,Medium,Long-Term,Professional Advisor,No,N/A,Low (<8%),"SIP in Equity Mutual Funds (large-cap / hybrid), Debt Funds / FDs for stability",Moderate risk -> mix of equity via SIPs and debt for stability. User expects low returns but holds/being recommended high-risk instruments — advise recalibration.,0.65
