age,occupation,monthly_income,expenses,fixed_expenses,variable_expenses,has_loans,debt_amount,monthly_emi,savings,emergency_fund,invests,investment_type,risk_appetite,short_term_goals,long_term_goals,financial_health
49,Salaried,164631,112817,30171,82646,True,335128,24891,26923,158773,True,Mutual Funds,High,Vacation,Kids Education,Average
47,Business,61089,34188,11668,22520,False,0,0,26901,11763,True,FD,High,Buy Car,Start Business,Average
25,Self-employed,55691,31473,7664,23809,True,1928721,27431,0,368862,True,Mutual Funds,High,Emergency Fund,Wealth Creation,Poor
48,Salaried,61184,32196,12060,20136,False,0,0,28988,105790,True,None,High,Buy Car,Buy House,Good
60,Retired,154172,81446,36746,44700,False,0,0,72726,164223,True,Gold,Low,Buy Car,Retirement,Average
28,Self-employed,137370,100972,47733,53239,False,0,0,36398,208388,True,Gold,Low,Vacation,Start Business,Average
32,Retired,22202,13438,3975,9463,True,291235,29292,0,194828,True,Real Estate,Moderate,Vacation,Buy House,Poor
26,Salaried,69500,30026,14359,15667,False,0,0,39474,459942,True,Stocks,Moderate,Upgrade Lifestyle,Retirement,Good
50,Retired,180158,132823,70184,62639,True,117596,47557,0,35815,False,None,Low,Upgrade Lifestyle,Wealth Creation,Poor
34,Salaried,176792,91021,48600,42421,True,671860,22211,63560,409561,False,None,High,Upgrade Lifestyle,Wealth Creation,Good
43,Business,26165,12718,4762,7956,True,1059706,27294,0,137248,False,None,Moderate,Pay Debt,Start Business,Poor
38,Salaried,172611,152967,42798,110169,False,0,0,19644,387373,False,None,High,Vacation,Start Business,Average
34,Business,26074,17078,9031,8047,True,271270,36252,0,149086,False,None,Low,Vacation,Retirement,Poor
26,Self-employed,135424,99240,45468,53772,True,1568872,34572,1612,387872,False,None,Moderate,Buy Car,Buy House,Poor
49,Retired,168405,71698,30326,41372,False,0,0,96707,393805,True,Crypto,High,Vacation,Start Business,Good
47,Business,55270,37494,14899,22595,True,1968858,35124,0,408286,True,FD,Moderate,Vacation,Start Business,Poor
51,Salaried,21270,11806,3110,8696,False,0,0,9464,172650,False,None,Low,Upgrade Lifestyle,Kids Education,Good
37,Salaried,22674,14725,5783,8942,True,1327742,33200,0,379547,False,None,Moderate,Upgrade Lifestyle,Kids Education,Poor
48,Business,134959,55854,20655,35199,False,0,0,79105,20229,False,None,Moderate,Buy Car,Retirement,Average
30,Self-employed,18688,16699,8318,8381,False,0,0,1989,239279,True,Stocks,Moderate,Vacation,Wealth Creation,Average
46,Salaried,55485,47743,22661,25082,True,1384018,25014,0,300913,False,None,Moderate,Emergency Fund,Wealth Creation,Poor
26,Business,186341,149691,68240,81451,True,702108,26528,10122,425530,False,None,Low,Upgrade Lifestyle,Start Business,Poor
30,Student,123725,58789,15040,43749,True,1406808,39071,25865,198098,False,None,Moderate,Pay Debt,Retirement,Good
58,Retired,132714,118085,52683,65402,True,149877,23697,0,88675,True,FD,Moderate,Upgrade Lifestyle,Kids Education,Poor
27,Salaried,192943,134424,49773,84651,False,0,0,58519,33184,False,None,Moderate,Emergency Fund,Start Business,Average
29,Retired,66263,30581,16254,14327,False,0,0,35682,433209,True,Gold,Low,Emergency Fund,Wealth Creation,Good
35,Student,64287,40347,13931,26416,True,296202,18601,5339,145229,True,Mutual Funds,Low,Pay Debt,Wealth Creation,Poor
55,Business,103191,53138,30049,23089,True,1861885,43462,6591,122276,True,Real Estate,High,Buy Car,Wealth Creation,Poor
31,Salaried,35687,20008,6308,13700,False,0,0,15679,10163,False,None,High,Buy Car,Wealth Creation,Average
52,Student,148623,106783,54825,51958,False,0,0,41840,337942,False,None,Moderate,Buy Car,Buy House,Good
31,Retired,153571,106727,31418,75309,False,0,0,46844,75076,True,Mutual Funds,Low,Buy Car,Start Business,Average
52,Student,84168,49215,15156,34059,False,0,0,34953,242907,False,None,Low,Emergency Fund,Start Business,Good
60,Salaried,33250,18993,5930,13063,False,0,0,14257,52969,True,Mutual Funds,High,Emergency Fund,Retirement,Average
26,Self-employed,16377,7455,3809,3646,False,0,0,8922,120266,False,None,Low,Buy Car,Kids Education,Good
51,Self-employed,190411,106674,47622,59052,False,0,0,83737,322808,True,Real Estate,High,Emergency Fund,Start Business,Good
35,Student,38485,25512,12309,13203,False,0,0,12973,269666,True,FD,Moderate,Buy Car,Retirement,Good
36,Retired,129330,80385,45162,35223,False,0,0,48945,417447,False,None,High,Vacation,Buy House,Good
54,Business,160833,143601,70056,73545,False,0,0,17232,493065,False,None,High,Pay Debt,Buy House,Average
59,Salaried,98014,56030,23560,32470,True,1991257,49016,0,24488,True,Real Estate,Low,Pay Debt,Buy House,Poor
42,Student,127197,104803,54841,49962,True,1100692,33307,0,279014,False,None,Low,Upgrade Lifestyle,Kids Education,Poor
51,Salaried,169593,88946,32747,56199,True,1287442,49910,30737,425202,True,None,High,Emergency Fund,Start Business,Average
26,Business,124033,89803,39655,50148,True,634070,14377,19853,16357,False,None,Low,Emergency Fund,Retirement,Average
36,Retired,162401,70798,14999,55799,False,0,0,91603,90575,False,None,Moderate,Buy Car,Retirement,Average
23,Student,151853,104496,55330,49166,False,0,0,47357,159981,True,Mutual Funds,Moderate,Upgrade Lifestyle,Buy House,Average
37,Retired,89585,64423,27297,37126,False,0,0,25162,72773,True,Stocks,Low,Upgrade Lifestyle,Kids Education,Average
58,Salaried,166530,100328,43264,57064,False,0,0,66202,129861,False,None,High,Buy Car,Buy House,Average
23,Student,133695,68002,38890,29112,True,842373,7143,58550,212597,False,None,High,Emergency Fund,Start Business,Good
22,Self-employed,15492,10064,3382,6682,False,0,0,5428,393075,True,Crypto,Low,Buy Car,Buy House,Good
60,Business,36579,16536,8733,7803,False,0,0,20043,418903,True,Stocks,Moderate,Upgrade Lifestyle,Wealth Creation,Good
39,Salaried,155520,95183,40276,54907,False,0,0,60337,250750,True,Stocks,Low,Vacation,Wealth Creation,Average
54,Business,181524,75950,26608,49342,True,473614,9035,96539,305514,False,None,Moderate,Vacation,Wealth Creation,Good
55,Business,173390,125100,66158,58942,True,748159,35433,12857,309829,True,Real Estate,Low,Pay Debt,Buy House,Poor
38,Self-employed,155021,63088,27028,36060,False,0,0,91933,382113,False,None,High,Emergency Fund,Start Business,Good
23,Student,150169,101427,36794,64633,False,0,0,48742,284071,False,None,Moderate,Upgrade Lifestyle,Start Business,Average
